id,text,sarcastic,rephrase,dialect
17,"فينجر طلب مني الخضوع لاختبار قبل ضمي للأرسنال، في البداية وافقت ثم أجبته كما يلي زلاتان لا يقوم بالاختبارات""  😂""",1,مدرب فريق ارسنال يطلب من اللاعب ابراهيموفيتش الدخول فى اختبارات قبل الانضمام لكنه يرفض,msa
18,فيه ٣ في القاهرة حابسين نفسهم في بيوتهم حد يقولهم ينزلوا علشان نكمل لمتنا.,1,القاهرة زحمة ومفيش اهتمام بالعزل المنزلي,nile
19,لي قرا قرا بكري,1,خلص وقت الدراسة,magreb
20,انا خايف أن بسبب الحظر أضطر اتفرج علي مسلسل نبيلة عبيد,1,أنا خايف بسبب الملل فى الحظر أعمل حاجات مش بحبها,msa
21,يقولو بلي تكري فإيبيزا ولا فالسات تستقاملك كيف كيف كيما هدا لوتال,1,سعر الفندق غالي,magreb
22,شهر سبتمبر عدى منها خمسة عشر يوم فى ثلاث ايام فقط ياريت كل الشهور تتعلم منه,1,شهر سبتمبر عدى بسرعة,nile
23,الدنيا مترو والشمال كتروا,1,البنات الفاسقات كتروا فى المجتمع,nile
24,بوتفليقة قالكم رايحين تعيشو في جنة,1,بوتفليقة قالكم رايحين تعيشو كي الملوك,magreb
25,الجنرال شنقريحة شرا المباراة باه يلهي الشباب عن الحراك واضحة,1,سخرية من الناس اللذين يتهمون النظام بافتعال كل شيء بغرض الهاء الشارع,magreb
26,ميزانية الفيلم ده ماتعديش التسعه جنيه ونص ويقولك ان السينما عندنا قويه ومصروف عليها,1,انتاج ضعيف وجوده رديئه للفيلم,nile
27,تعالي كل مكرونا وانسي اللي حصل من ايفونا,1,هزيمة نادى الزمالك من الأهلى عندما احرز الهدف ماليك إيفونا,nile
28,تبدلني أنا 90 كيلو شحم ولحم بزوج كيلو بطاطا,1,تبدلني أنا بكل وزني بهذه النحيلة,magreb
29,انا لو انخطفت وطلبوا ٥٠٠٠ ابويا هيقول اقتلوه اوفر,1,ابي لا يهتم بي ولا يريدني,nile
30,ايه ياخد الريح من البلاط,1,انت ليس معك شئ قيم,nile
31,ياريتنا افتكرنا ربع جنيه,1,ياريت كنت افتكرت اي حاجه حلوه,nile
32,حوحو يشكر روحو,1,يزي ما تشكر في روحك,magreb
33,تونس باريس تذكرة بثمنين اورو الجزائر باريس تذكرة بسبعمية و خمسين وزيد تركب في طيارة شغل سوناكوم,1,سعر تذكرة غالي و نوعية الطائرة كانها باص زمان,magreb
34,ده حيتحفل عليه,1,ده حيتريقوا عليه جامد,nile
35,اللى يشوف الفنانين من غير مكياج يلطم,1,الفنانين وحشين من غير مكياج,nile
36,الباب الي يجيلك منه الريح شيله وركب قبنوري,1,الي يعملك مشاكل شيله من حياتك,nile
37,2019: كسول ومش مستفيدين منه حاجة 2020: مواطن واعي ومسؤول,1,تغير نظرة الحكومات و الناس عن الشخص اللي مبيتحركش من بيته بسبب الكورونا,nile
38,هم يزعلون لازم ( تقدر ظروفهم ) انت تزعل عيب انت جدار شفيك نسيت,1,الست من حقها تزعل لكن الراجل مش من حقه,gulf
39,في ناس بتاكل فاصوليا بالعيش الكيزر الله يرحم,1,ناس فقيرة بقه معاها فلوس  وبقت محدثة نعم ,nile
40,روح العب مع الاسد اللي هناك دا,1,بطل هري وكلام تافه,nile
41,حتى المثل اتقلب دلوقتى ل امشى عدل يحتار عدوك و صديقك فيك,1,محدش بيحب الخير لحد,nile
42,[ عندك سلـف ] : سؤال يثير الرعب في المجتمع ويؤدي الى قطع الأرحام والتفكك الاسري =)),1,لا أحد يريد أن يسلف أمواله لغيره ومستعد لقطع رحمه ولا يعطى أمواله لأحد,msa
43,من كتر فلوسك تسلف بنك,1,بتتكلم وكأنك معاك فلوس كتير وأنت معدوم,nile
44,فلان مقطع حصر الجامع,1,فلان لا يفارق المسجد,levant
45,داخل علمي رياضة وفاكر نفسه فيثاغورث,1,داخل علمي رياضة وهو غبي,nile
46,كل يوم يعددي يثبت ان اسرائيل دي بلد شوربة واخدة قوتها فالإعلام وبس,1,اسرئيل مجرد فقاعة يتداولها الأعلام,nile
47,يا نهار ابيض ايه التور ده..محدش يلعب جنبه,1,ده لاعب قوى,nile
48,الناس لسه بتتجوز بردو لا حول والا قوة الا بالله ماحدش بيتعظ,1,يعنى الجواز كله مشاكل ماحدش بياخد عبره من الناس اللى قبله,nile
49,اي حاجة باصي لميسي,1,روح لحد بيفهم,nile
50,الاسعار نار .. الله ينور يا سيسي,1,الاسعار غالية جدا منك لله يا سيسي يا فاشل,nile
51,الزمالك فريق فاشل وعشان مباره فازها شاف نفسه علينا,1,الزمالك فريق  فاشل ومغرور,nile
52,كلها مسلسلات الخطف ديه كفاية ضحك ع الناس,1,الداخلية تحاول ان تبيض وجهها ببطولات زائفة,nile
53,شاهد ابو صلاح يحمل عجوز ويعبر بها الشارع الله على اخلاقك يا فخر العرب,1,سخريه من محمد صلاح والصاق امور خياليه به للسخريه ,nile
54,القوالب نامت والنصاص قامت عجيبه,1,اى ان الناس عديمه القيمه هى الظاهر فى المجتمع,nile
55,فاكر نفسك نجيب محفوظ دا انت اخرك بتاع لبوس وبتشير علي البلوتوث 😒,1,فاكر نفسك نجيب محفوظ ده أنت مبتفهمش حاجة,nile
56,فعلا قال علمنى الهيافة قاله تعالى فى الهايفة واتصدر,1,التافه يتصدر في الأمر التافه,nile
57,ذهب ليشتري حذاء فوجد الناس بدون رجلين ههههههههههههههههههههههههههههههههههههههههه,1,حالته أفضل من حالة الناس رغم فقره فهو أفضل منهم حالا,magreb
58,شامم ريحه مؤامره,1,اشتباه بوجود مؤامره,nile
59,هوا أحنا دخلنا النار,1,الجو حر أوى,nile
60,هل تعلم ان البنت القصيرة ربنا عوضها في لسانها,1,دايما البنات لسانها طويل وخصوصا البنت القصيرة,nile
61,مرايه الحب عمياء,1,ان المحب لايرى اى عيوب فى من يحب,nile
62,احنا غلابه بس ساعة الشر بنتغابى,1,احنا ناس طيبة مش بتاعت مشاكل بس وقت لما حد يدوسلنا علي طرف مش بنسيبه,nile
63,عندما تفقد الاحا قدرتها على التعبير لابد ان ياتي الشخير طوابير,1,لا تكفي صيحات الاحتجاج بل لابد من احتجاج اقوى,nile
64,انت ايه يابني كانو بيرضعوك تلج وانت صغير,1,أنت تتصرف ببرود شديد ,nile
65,ماتش صعب ايه بس ده الفرقه كانت بتقابل نفسها,1,ماتش سهل امام منافس ضعيف,nile
66,ياخبر النهارده بفلوس بكره يبقى ببلاش,1,اى ان ما استعجلت عليه وتريد دفع فيه المال بالصبر يمكن ان يكون مجانا,nile
67,أنت ترجع الغيط !,1,واحد في مكان مش مناسب له,nile
68,وجهها مثل الركبة و تقول تحرش 😂.,1,هى قبيحة ومحدش هيتحرش بها,gulf
69,كده كده يا زمالك الدوري في الجزيره 	 عامل فيها بطل وهو بتاع بليله,1,ان الزمالك فريق ضعيف لا يجيد المنافسه,nile
70,العيش والملح بتاعكوا عملت غسيل معدة ورجعتوا,1,مستغني عن عشرتكو,nile
71,عضو مجلس شعب عامل زي المعلقة الخشب لا بتجيب ولا بيودي,1,عضو مجلس شعب ليس له فائدة ولايصلح لاي شيء,nile
72,هاي السنة فش احلى منها 🤯😂,1,هاي السنة مش حلوة,levant
73,حسيتوا بالزلزال ولا مبقيتوش تحسوا بالحاجات الضغيرة دى,1,حسيتوا بالزلزال ولا لأ,nile
74,انتا عايش في الالالاند ولا ايه,1,أنت مش فاهم حاجة,nile
75,يا الف بركة يا ريت متقرفوناش تانى بقى,1,لا تشغلونا بأخبار تافهه,nile
76,لسانك حصانك صنه,1,اللسان هو الذى يحفظ للإنسان كرامتك وما تقوله هو ما يحفظ أو يهدر كرامتك,msa
77,السعودية : لا أعرفه ، لذا لن أضيفه .المصرية :ايه ده نفس كليتي ، يبقى لازم أقبله ، أنا نقطة ضعفي زملاء الدراسة,1,ان المصريين بيضيفوا ناس كتير على مواقع التواصل,nile
78,الدنيا عامله زى الراقصة اللى رقصت للناس كلها وجات عندى أنا وتابت,1,الدنيا بتضحك للناس كلها وتيجى عندى أنا واقفة بابها فى وجهى,nile
79,المانجا النعومي مفيش زيها ابدا,1,المانجا النعومى طعمها وحش أوى,nile
80,يا خارجة من باب الحمام وكل خد عليه خوخة,1,يا متجوزة وخدك مكسوف,nile
81,لاتبتسم لطفل في الطائرة إلا إذا كنت تنوي قضاء الرحلة في ملاعبته .,1,الطفل اذا بقيت معاه لازم تلبي رغباته,msa
82,انتي فاكرة نفسك .ست,1,انتي فاكرة نفسك حلوة,nile
83,الحيطان لها ودان,1,احذر من الحديث عن شئ خطر فحتي لو كنت في مكان مغلق يمكن ان تنكشف,nile
84,لما تخلص المصالح الحلو يبقى مالح,1,ان لما الخسيس ياخد مصلحته بينسي الحلو وميفتكرلكش حاجة,nile
85,اللي عاجبه عاجبه واللي ما هو عاجبه ينتف حواجبه,1,ان منبصش لاراء الناس اللي يعجبه افعالك يبقي تمام واللي مش عجبه يبقي يتفلق,nile
86,ضحكولو تمد على طولو  هههههههههههه,1,تمادى إلى حد مقرف,magreb
87,علشان حته بطيخ عمل مشكله وصريخ,1,اى ان الموضوع تافه لا يستحق كل هذا الكلام,nile
88,يا عينى على الحلو لما تبهدله الايام,1,ايه اللى بهدلك كده,nile
89,واحد قال لمو بغيت نتزوج بوحدة بيضاء وطويلة وخدامة قالت له خد الثلاجة,1,المواصفات لي بغا فالزوجة كينين غير فالتلاجة,magreb
90,بحب العسل بس النحل بيقرص,1,الوصول للهدف صعب ولكن تحقيقه شئ ممتع,nile
91,اجمل حاجه للكره المصريه فى ٢٠٢١ ان البدرى انزاح يا ساتر كابوس,1,حسام البدري افشل مدرب لمنتخب مصر,nile
92,الشعر عنوان جمال المراه وهي جوابها باين من عنوانه,1,شعرها مش حلو,nile
93,من قير كوكا لا تحدثني عل قاز هذا راه بيت شعري,1,كوكاكولا أفضل مشروب,magreb
94,روح يا راجل شوفلك حته ناشفة اقعد فيها,1,امشى اقعد بعيد عنا,nile
95,السبع جاب السبوعة,1,خارج عن ابوك,magreb
96,دا سايق بسرعة جدا فاكر نفسه طيار,1,سريع جدا,nile
97,منين ممثله محترمه ومنين ربنا يتوب عليها من التمثيل (المحترم )!!,1,ربنا يتوب على الممثلة دى من التمثيل كان التمثيل ذنب يجب التوبه منة,nile
98,لما تحفظ اغنيه وتمشى تغنيها فى البيت واهلك بقولك ده لو المنهج مكنش تحفظة كده,1,ياريت تحفظ دروسك زى ما بتحفظ الأغانى كده,nile
99,بكره هتكون زي شكوش وحمو نمره كلهم بداو كدا وهيتكون عندك لامبرجيني,1,طالما هايف هتنجح,nile
100,الله عليك يا بلاص المفهوميه,1,انت غبي,nile
101,اللي على قلبه مراوح ما بشوف هيك ولا هيك,1,البارد مش بيهمه شئ,nile
102,فاكرة نفسها اينشتاين وراحة تخش علمي علوم,1,هي مش ذكية,nile
103,نجحت ف الثانويه العامه بالزق وعامله فيها دكتوره,1,دي فاشله,msa
104,اخد ابن عمى واتغطى بكمى,1,أتجوز براجل طيب أعرفه أحسن من راجل غنى وطبعه وحش,nile
105,أسمع كلامك أصدقك أشوف أمورك أستعجب,1,انك تتحدث ولا تفعل,nile
106,عامل فيها بطل وهو بتاع بليله,1,غلبان في حاله وعامل فيها شجاع,nile
107,الناس بتشتري لب ولا اكننا في العيد مش في اعصار,1,الناس بتشتري لب وسوداني وفي وقت المشكله دلوقت,nile
108,شفت دي آخرة اللي يجي علي الولاية,1,اللي بيظلم واحدة ست نهايته وحشة,nile
109,الديك الفصيح فى البيضه بيصيح,1,ان الذكاء بيظهر من الصغر,msa
110,شابو للي بيتسحر زبادي وبينام,1,شاطر اللى بيتعشا عشا خفيف,nile
111,ولسا حضرتك ياما تشوف انبهارات,1,فاكر نفسه عالم وهو لسا علي خبره قليله,nile
112,داااااااااك الزين تقوول مارادونا,1,انتا بشع,magreb
113,السنه الدراسيه الجديده هتبتدي والامهات كلها مبسوطه وابناؤهم,1,السنه الدراسيه هتبتدي والطلاب والامهات مش مبسوطين خالص,nile
114,صفر /عشرة كتير لو فريق من درجة ثالثة كان لعب احسن منهم,1,ده فريق فاشل واتهزم هزيمة كبيرة ,nile
115,البنت اللي تركت حبيبها صار عندها الX .. بقي ناقصها الايفون,1,البنت اللي تركت حبيبها صار عندها حبيب سابق,levant
116,سبحان العاطى الوهاب من بعد الشبشب والاوبئاب,1,بعد الفقر والفاقة جاء الغني والمال,nile
117,وانت بقي فيلسوف عصرك؟ ماتنقطنا بسكاتك!,1,انت ولا فاهم حاجة يبقي تسكت احسن,nile
118,الواحد بيفكر نفسه حويط وكتوم لحد ما بيلاقى 50 أو 60 بنى ادم بيسالوه عن موضوعه,1,أنا بحكى لكل الناس كل أسرارنى ,nile
119,الغاوى بنقط بطاقيته,1,أذا كنت تحب شئ وتغوى قربه عليك دفع ماتملكه وتدخره لتناله,nile
120,الناس كلها خير 🙃,1,الناس ما فيها خير,levant
121,كل ما أشوف صورتي في البطاقة أقول مش مهم الجمال المهم الأخلاق,1,شكلى وحش أوى فى البطاقة,nile
122,محمد رمضان أخذ الدكتوراة الفخرية يالا سخرية القدر,1,محمد رمضان اخد دكتوراة لا يستحقها,msa
123,زي ما رحتي زي ما جيتي,1,يعني عملك للشىء مثل عدم عمله ولا فائدة منه,nile
124,هى الفلوس اللى اديتهالك خلصت؟! -على حسب هتدينى غيرها ولا هتتخانق معايا🙂,1,مش هجاوبك على سؤال الفلوس خلصت ولا لأ إلا لما تقولى بتسأل ليه,nile
125,محمد صلاح لديه خياشيم ويتنفس تحت الماء,1,محمد صلاح شخص خارق,msa
126,قالوا للحرامي احلف قال جاك الفرج,1,اللص لا يمين له,nile
127,الإسماعيلى بيلعب بالمدربين وعمال النادى,1,الإسماعيلى ماعندوش لعيبة,nile
128,اكبر خطر يهدد الانسان في هذه الدنيا هو الانسان,1,ان الناس خطر علي بعضهم,nile
129,كسم الضحك,1,حاجة تضحك جدا,nile
130,نادي الزمالك نادي الوطنية والكرامة,1,نادي الزمالك بلا كرامة,msa
131,لأول مرة الصين ناس ملاح صنعو المرض و اللقاح,1,الصين هوما سبب المرض و مع التالي صنعو اللقاح باش يربحو الدراهم,magreb
132,والواد ده عبقرينو بجد,1,ذكى جدا,nile
133,الى يعوزه البيت يحرم على الجامع,1,اى ان جمع الضراب حرام فى حاله الفقر,nile
134,ظهرت معزاز كبير,1,شاطر في الغمل,magreb
135,هي اللي فالصوره دي عامله مظاهره عشان تتجوز ياخي من بختنا الأسود,1,بنات لبنان القمرات عندهم عنوسة وعندنا الفتيات يتمنعن,nile
136,البيت ده طاهر وهيفضل طول عمره طاهر,1,رقاصة بتتكلم ان بيتها طاهر,nile
137,تعويره الوش مفيهاش معلش,1,عند قصد الضرر لا يوجد سماح,nile
138,ياعم انت فاكرني جدو اول ما انزل هجيب جون,1,التشبه باللاعيب المصري جدو لانه كل ما ينزل الملعب يحرز هدف,nile
139,دا انت هزارك عسل,1,انت هزارك بايخ,nile
140,اعطي الريح لرجليك,1,اهرب عن وجهي,magreb
141,السوشيال قربت كل العالم من بعضه الا العرب فرقتهم,1,العرب بيتخانقوا على السوشيال ميديا بدل ما تقربهم من بعض,nile
142,و جاي علي نفسك و صاحي بدري أوي كده ليه,1,قايم من النوم متأخر جدا,nile
143,مبقاش عندى خلق اكحلها أنا حاليا يعميها على طول,1,معنديش صبر والا خلق انى تداوى الأمور أنا بقيت بعديها على طول,nile
144,كوكب اليابان ❤️ حد يجيب مجلس الوزارء يفرجهم ع الموسم ده,1,نظام و دقة دولة اليابان,nile
145,ماشاء الله عليكوا بتقنعونا كل مدى ان اللقاحات زي عدمها شابوه بجد,1,مفيش مصداقية فى فعالية اللقاحات,nile
146,ده فاكر نفسه احمد زويل ههههههههه,1,هوفاكر أنه ذكى وهو مش فاهم حاجة,nile
147,خلي بالك يا ريس المرة دي التالته تابته,1,اخر فرصة ليك,nile
148,بيقولك مصر فيها اتنين طه حسين عميد الادب ومرتضى عميد قلة الادب,1,مرتضى سئ الادب,nile
149,مبولحي اذا دوش تسما راهو يبذر فالماء,1, الفريق الخصم ضعيف امام منختب الجزائر,magreb
150,اطفي نور الأوضة وولع شمعة هتلاقي خيالك فضفض معاه,1,الملل من الأغلاق اللي الناس بتعاني منه,nile
151,اللي مستني امل قوله أمل اتمسكت علي الدائري,1,مفيش أى أمل فى أى حاجة,nile
152,لا عاوزين تنجحوهم ولا عاوزين تغششوهم ينتحروا يعني,1,نظام تعليمي ينتج الفشلة والغشاشين,nile
153,قالوا للحرامي احلف قالهم وحياة قلبي وافراحه,1,ان الحرامي معندوش ذمة وبيكذب,nile
154,متبقاش خنزير و تتنمر علي اي حاجة,1,بيتريق علي اي شخص,nile
155,انت هتصيع على مين ياض,1,انت بتتذاكى  على اللى أذكى منك,nile
156,جا يكحل لها عماها,1,افسد كل شىء,magreb
157,احنا اينعم حالنا زفت ومفيش صحةولا تعليم ولاقضاءولااقتصاد قوي بس ثانكس جود مساحة دولتنا اكبر من مساحة دولة الكويت,1,الكويت احسن من مصر في كل حاجة ولكن مساحتها صغيرة,nile
158,الامور منيحة و النفسية اعلى من هيك فش,1,الامور سيئة جدا و مش منيحة,levant
159,دى فاكره نفسها صوفيا لورين,1,دي وحشة,nile
160,عمل زى اللى رقصوا على السلالم لا اللى تحت شافهم ولا اللى فوق سمعهم,1,مقدرش يكمل علشان يحقق حلمه بعد ما تعب فيه,nile
161,النجار اللى عمل الشبابيك اللى فى الشقه عندك سبعه صنايع والحظ ضايع,1,النجار ماهر فى عمله,nile
162,عادل امام في حنفي الابهة حاجة رهيبة,1,عادل امام في فيلم حنفى الأبهة كان حلو جدا,nile
163,هذا وش راه يدير ، حاط روحو حمّة,1,ماذا يفعل هذا ؟ يظن نفسه قوي وهو ضعيف,magreb
164,عيش حياتك واستمتع بيها ساعه الحظ ما تتعوضش,1,الوقت الحلو مش بيتعوض,nile
165,انا مش هعمل دايت عشان ده يعتبر رجيم والرجيم اسم من اسماء الشيطان وده كفر نكفر يعني ولا ايه,1,مش قادر أعمل دايت,nile
166,جميل بصراحه عندنا الولد يبقي 25 سنه ويرفع رجليه ع الحوض علشان يتوضي بالعافيه 😂😂😂,1,الشباب هنا فى بلاد العرب مبيعملش رياضة ومعندوش لياقة,nile
167,الناس اللي فاكرين نفسهم محور الكون دول طيبين اوي,1,اللي شايفين ان كل حاجة بتدور حواليهم هما بس ساذجين واغبيا,nile
168,"يقولون ان الزواج كبرميل العسل اوله عسل و اخره مر , اما ان اعتقد اني بداته من الأسفل ",1,بدأت الزواج بالمشاكل والمر وليس بالحلو والعسل,msa
169,احنا تفوقنا علي امريكا بالاهتمام باولادنا في الخارج,1,الإهمال الشديد للحقوق المواطنين فى الخارج,nile
170,تبع الكذاب لباب الدار,1,يعني راح نسايرك حتى نفيق بيك,magreb
171,عليا الطماطم انت صح ياض,1,انت علي الطريق الصح,nile
172,يا عم أصاحب مين ده عشري باع ابراهيم,1,مفيش حد بصاحب حد بجد الناس كلها بتخون بعضها,nile
173,أحنا خرجنا من مرحلة وغي المواطن لمرحلة جدعنة الفيروس,1,الدولة فشلت فى السيطرة على عدم إنتشار الكرونا,nile
174,ده عاملى فيها ابو العريف,1,ده غبى لكن فاهم نفسه عارف كل حاجه زى ابو المعرفة,nile
175,بتحذرو بعد ايه مصر كلها عندها دلتا,1,جميع المصريين مصابين بمتحور دلتا,nile
176,يا جمال صوتها دى ام كلثوم زمنها,1,صوتها جميل جدا,nile
177,روحى الهى وانت جاى يصدمك تورماى,1,ربنا ياخدك,nile
178,كان القرد نفع نفسه يسطا,1,انت نفسك مبتعملش بكلامك,nile
179,الل ياخد المقصد بدون نية الهي تركبه جنية,1,ربنا يأذيك لوظنيت فينا ظن سئ,nile
180,الحب في القلب زي عضة الكلب,1,لا تحب حتى لاتتالم,nile
181,الواد دا حكايته على الله,1,شخص بلا اهداف واضحه فى حياته,nile
182,خطوبه يومين علي البحر قليل,1,إستهبال فى الإحتفال بالخطوبة لمدة يومين على البحر,nile
183,انت فاكر نفسك بروس لي,1,انت فاكر نفسك قوي,nile
184,السبوبه خلصت الناس روحت من الساحل وصرفو فلوسهم خلاص .. نرجع بقي ندور ع سبوبه الشتاا عشان ده اكل عيش ياعمنا,1,وزارة الصحة تقلب بيوت الشعب من اجل سبوبة كورونا,nile
185,رياض محرز  ينقذ سمكة من الغرق، الله على اخلاقك يا فخر العرب,1,سخرية من رياض محرز و الصاق امور خيالية كانقاذ سمكة من الغرق لحسن اخلاقه,msa
186,مستنين شهر أبريل عشان يكذبون فيه على أساس أنهم ملايكه طول السنه,1,هما مش فارق معاهم اى شهر فى السنه بيكذبو على طول,nile
187,متلمي نفسك إنتي وبنتك يٱولية,1,احترمي نفسك انتي وبنتك يا حجة,nile
188,لا الشعب المصري الصراحة ناقصها بس الايفون iPhone 13 Pro Max,1,الشعب المصري لا يجد ما ياكله ويعلنون عن الأيفون الجديد,nile
189,سنة 2020 فاضلها تنين مجنح وتقفل علي كدة,1,سنة  2020 سنة حصلت فيها كوارث كتيرة,nile
190,طيب خد عمك حسام البدري فى ايدك و مسمعش صوت حد فيكم,1,افشل مدرب للمنتخب المصري هو حسام البدري,nile
191,يبني البلد دي لو فيها خير مكنش ربطو الكبايه ف الكوردير,1,ان لو فيه بركة وخير فالناس مكنوش خافوا عالكوبايةالماية السبيل لوجه الله وربطوها ,nile
192,طب مبلاش سيرة قفشه عشان فيه بوابين هنا وبيتخضو,1,قفشة اصبح عقدة الزمالك والزمالكاوية,nile
193,تقريبا العروس مكنتش مصدقه انها ها تتجوز,1,العروسة فرحانة أوى أنها هتتجوز,nile
194,هيموت ويلعب و يكمل ف العزبه خايف اليغمه تروح عليه,1,نفسه يرجع يلعب في الأهلي,nile
195,غدوة نشاء الله نوض على جيبوتي تاع صباح,1,خسارة منتخب جيبوتي ٨-٠,magreb
196,كل يوم يركب الموصلات العامة وينتقدها مش عاجبك اركب تاكسى او روح شغلك بالطيارة بتاعتكوا,1,يستخدم المواصلات العامة يوميا ودائم الشكوى,nile
197,شهر مايو بداء استعدوا بقي لليفل الخامس,1,كل شهر لازم يحصل كارثة ,nile
198,كلام الناس لا بيقدم ولا ياخر كلام الناس ملامه وغيره,1,كل كلام الناس ماهو الا غيره وكلام فارغ,nile
199,ليه هو مفكر نفسة مجدى يعقوب ...ايه ياعم!!!,1,هو فاكر نفسه طبيب وبيفهم فى الطب مثل مجدى يعقوب,nile
200,محدش يصدق الحضري الواد ده ده ممكن يبيع خطه اللعب للفريق المنافس,1,الحضري غير مؤتمن على المنتخب,nile
201,قالك رئيس المغرب هو أمير المؤمنين تاع هذا الوقت 😂,1,رئيس المغرب ليس له علاقة بالدين,magreb
202,جايب 5 من  10 في الامتحان ده انت تيجي تذاكرلنا بعد كدة,1,انت فاشل في الدراسة,nile
203,هل تعلم أنه عندما يغضبك أحدهم فأنت تستهلك 42 عضلة للتكشير في وجهه،بينما لا تحتاج أكثر من 4 عضلات لتشمطه كف,1,انك تضرب اللي مضايقك كف ب4 عضلات اسهل ما تكشر فوشه ب42 عضلة,nile
204,اصبر يا عم علينا على الفلوس اللى ليك عندنا هو احنا هنطير,1,اصبر عليا فى الفلوس وهرجعهالك,nile
205,الف مبروك للسباح المصري حصوله علي المركز الثامن من اصل تمن مشاركين الحمد لله انه مغرقش,1,السباح المصري مش بيعرف يعوم,nile
206,دمه خفيف أوي,1,شخص غير مضحك,nile
207,وصلنا لمرحله  ان اللي يسوق جالس يطقطق بالجوال   واللي جنب السواق منتبه للخط😱😰🔫,1,السائق غير منتبه للطريق والراكب منتبه,gulf
208,دي موضه وقولنا عااادي بس بس تقفلوا البلكونه وتفتحوا البدروم ينفع ....,1,الموضة دلوقتى نغطي من فوق ونعري من تحت,nile
209,اغلب الابراج مسمينها ب اسماء حيوانات لأن مايصدقها الا الحيوانات,1,اغلب الابراج على اسم حيوانات لان من يصدق بها لا عقل له,nile
210,الواد دا فاكر نفسه جهبز,1,الولد فاكر نفسه فاهم كل حاجة,nile
211,بعض الأشخاص يمتلكون رؤوس لا يستفيد منه إلا الحلاق,1,فيه ناس عندها راس بس مش بتشغلها كل فايدتها ان الحلاق يحلقها ويستنفع,nile
212,انت مفكر نفسك ابو تريكة ولا ايه,1,مبيعرفش يلعب وعامل نفسه ابو تريكة,nile
213,عملت ايه يا شب الناوية,1,عملت ايه يا فاشل,nile
214,انسهل التلفون,1,التلفون لم يتوقف عن الرنين,levant
215,كلمة يا ريت ما بتعمر بيت,1,ان لما تندم علي اللي حصل وتقول ياريت مش هيعمر بيتك ولا هيكسبك,nile
216,ال تحسبه موسي يطلع فرعون,1,متتعشمش زيادة في حد عشان هتفتكره شخص كويس وهو في الاساس شرير,nile
217,اقسم بالله انتوا شعب بتحبوا الشو دي سمكة تونه,1,شعب يحب التفاهة والشو الأعلامي,nile
218,نبقي نعمل الدايت فالاخره بقي,1,مش هنعمل الدايت,nile
219,لا وانت الشهادة لله وفي اوي,1,انت خائن,nile
220,عامل زى ابو الفراجين معندوش يا اما ارمحينى,1,عامل نفسه جد وفاهم شغله وهو غبى,nile
221,نحن نختلف عن الاخرون خالص,1,فاكر نفسه ناصح ومحدش بيفكر زيو,nile
222,دا فاكر نفسه جاستن بيبر,1,فاكر نفسه صوته حلو زى المغنى جاستن بيبر وهو صوته وحش,nile
223,انا نفسي اروح مكان ميكونش فيه سرنيخ ابن يومين,1,عاوز اروح مكان ميكونش فيه حد خالص,nile
224,كاليتي شغل ماتش مرسوم بطباشير,1,جودة البث سيئة,magreb
225,الحضري السد العالي,1,الحضري حارس مرمى قوي,nile
