id,text,dialect,sarcasm_ref,human_aggregated,#humans_sarcasm
43,مِنْ زِيْنَكُم؟؟,msa,1,0,1
44,يلي عنده وجّين بأي وِج منّن رح يفتح الiPhone X؟,levant,1,1,3
45,ماضاقت الا تنفرج لو بعد حين ومن لايبادلك الغلا عنك كبه,levant,0,0,0
46,امطرت مدينتي 💕 .,msa,0,0,0
47,دمه تقيل قوى,nile,0,1,3
48,تكمنين في عمق تفاصيلي الخاصة ، مثل السر العظيم الذي لا يعرفه الا انا والرب ♥️,msa,0,0,0
49,قاعدة اكل شيبس واتحسر على ايامي الضايعة اف,levant,0,1,3
50,عشر اصهرة ع باب داري ولا كنة تكشف اسراري,levant,1,1,3
51,صاحيه لحد دلوقتى تعملى اى بردو مش فاهمه,nile,0,0,0
52,أقصى درجات السعادة أن نجد من يحبنا على ما نحن عليه أو بمعنى أدق يحبنا برغم ما نحن عليه,msa,0,0,0
53,طلّة شتاء وأيام مَليانة غِيم ومطر 🤍 .,msa,0,0,0
54,كأنه مجبتوش ولادة يعنى بن الذين,nile,1,1,4
55,محمد صلاح يحرز الهدف,msa,0,0,0
56,دامه حبيبي كيف اتوب,gulf,0,0,1
57,أمانة، إن حنّت أيامك لأيامي تعال.,msa,0,0,0
58,القلب ما يكره لكن الخاطر يطيب,gulf,0,0,0
59,كلامك تافه,msa,0,0,2
60,محمد صلاح ينقذ سمكة من الغرق، الله على اخلاقك يا فخر العرب,msa,1,1,4
61,كيف اختبارك عزيزي الطالب ؟,msa,0,0,0
62,مافيش أسوأمنك يا عمرو,nile,0,0,0
63,خلص 😿 😿 😿,levant,0,0,0
64,الناس في رمضان نسيت الكورونا,levant,0,1,3
65,احح تو اصحى!,gulf,0,0,2
66,جاور من يهون عليك الدنيا 🤍,msa,0,0,0
67,حسن شحاتة بيدرب تيجريس الميكسيكي,nile,0,0,1
68,يوم حبي لك طفولي.. ويوم عاقل يحتويك,msa,0,0,0
69,اكتر ناس سالكه ع وش الارض الناس اللي لسه معرفتش حوار التليجرام دا.,nile,0,0,0
70,عطيتك حُب ما يستـاهلَه قَلبك .,gulf,0,0,0
71,مساء الخير ',msa,0,0,0
72,عندما يحاول الولد فرض سطوته على اخوته البنات وهو غير مؤهل لذلك,msa,0,0,0
73,ثكلتك امك يا ولد,msa,1,0,2
74,وعد مني مش هفكر نفسي بيك,nile,0,0,1
75,ملاكي الحلو 🥺,levant,0,0,1
76,عمري واحد وعشرين ربيعا وللحين ماعرف اكل وانا متربعه,gulf,0,1,4
77,وزيرة الصحة المصرية هنفتح تدريجي و زي ما تيجي تيجي,nile,1,1,4
78,صرت ما احب اعيش الا واحنا سوى 💚 🎵,nile,0,0,0
79,اتمنى اموت وبس اتمنى اموت,levant,0,0,0
80,لاتنين دول دايما يحسسوني ان الحب ولع في الدرة,nile,1,1,4
81,الزمن ظالم ومقلوب,msa,0,0,1
82,انسان مغرور,nile,0,0,0
83,جسمي كامل يعورني 😔,gulf,0,0,1
84,ويفوز بالذه كل مجاذفً,msa,0,0,0
85,اصبحنا واصبح الملك لله ♥️ ♥️,msa,0,0,0
86,ماهز عرش الضلوع بصدري الا الحب,msa,0,0,0
87,والله ضحك ديمتري شخطهم اهخ,levant,0,0,2
88,44 مليون علشان جري ورا بنته وفيه ناس بتجري طول العمر ومفيش معاها 44 جنيه,nile,1,1,3
89,حياتنا نحس بنحس حظ مافي,gulf,0,1,4
90,أحنا كفاية كدة 2020 ونعتبر 1 يونيو سنة جديدة,nile,1,1,4
91,الأفراح أتأجلت بسبب كرونا ,nile,0,0,0
92,ع بالي الخميس 😭 😭 😭 😭 😂 💔 .,levant,0,0,1
93,يامن تسخر كل امري بأمرهه,msa,0,0,1
94,الاجواء مش في التوب والمود في النازل,nile,0,0,0
95,دوري سهل,msa,0,0,0
96,ضحك ببلاش اهو,nile,0,0,2
97,لو كان فيه خير .. ما رماه الطير,levant,1,1,3
98,-ومليُون مره يا حظ قلبي في حُبه.,gulf,0,0,0
99,انا في المذاكرة معنديش يما ارحميني,nile,1,1,4
100,شفيه الوقت مو راضي يمشي وتجي ٤ 💔,gulf,0,0,0
101,مساء الخير فاضيه الحين فين الجادين,gulf,0,0,1
102,﴿وَالَّذِينَ يَبِيتُونَ لِرَبِّهِمْ سُجَّدًا وَقِيَامًا﴾,msa,0,0,0
103,في خمس دقائق لا الرجل يحضر ولا المراة تجهز,gulf,0,0,2
104,والله ما هشتم..والله حرام عليك,nile,0,0,0
105,صباح الخير.. 🤍,msa,0,0,0
106,فاقد الحساب قلت انشطه,levant,0,0,2
107,محدش عنده اقتراحات لاي فيلم حلو ؟,nile,0,0,0
108,بغير هُدى حُسينٍ بمَن اهتدينا؟ 💚,msa,0,0,0
109,ٰ كُنْ من المُكْثِرين من الصَّلاة على نبيِّنا ﷴ ﷺ في هـذه الليـلة الشريفة .. لعلّ الله عَزّ وجـل يُثْني عليگ كثيراً عند ملائكته .,msa,0,0,0
110,الحكومة تراهن على وعى المواطن والمواطن نايم على ودانه ومفكر الحكومة بتحاربه شعب مالوش كتالوج,nile,1,1,4
111,ياخي ي ليت موادي فيها رياضيات 💔 🚶🏻‍♂️,gulf,0,0,0
112,ليتك بجنبي مثل ظلي .,msa,0,0,0
113,اکره قلبي ابغى اطلعه من جوه واحرقه وادعس عليه,gulf,0,0,1
114,"""يستحقك، الذي باع دربًا سهلاً واشترى سفرًا إليك""",msa,0,0,0
115,كفو فولهام 😍,gulf,0,0,0
116,حرامي في الشقه,nile,0,0,2
117,"""إنني ألمح آثار أقدام على قلبي.",msa,0,1,3
118,تعبتت من التفكيرر 💔,nile,0,0,1
119,تموج بي المشاعر لين بحر الهيام,gulf,0,0,1
120,غياب كم يوم لين م تزين النفسيه 🤭,gulf,0,1,3
121,تعودت عليك و التعود أقوى من الحب,msa,0,0,0
122,وجودك لطيف وغيابك ما يضر.,gulf,0,0,1
123,يا صوته اللي لاسمعته تعافيت لولا ضلوعي راح قلبِي مع الصوت..,gulf,0,0,1
124,محلى صباحي دام اوله مراسيلك,gulf,0,0,2
125,بتسرق كل اوقاتي وتشغل ياما تفكيري,nile,0,0,1
126,لا ملجأَ ولا مَنجَى منْكَ إلَّا إليْكَ.,msa,0,0,0
127,لما افتح علبه التونه وافضيها  ويفضلو حبه محشورين في العلبه انا : لا عنيده عنيده يعني مش هزار,nile,1,1,3
128,ناايممه لين بكره مغرب,gulf,0,0,2
129,ضعيف الشخصية,msa,0,0,1
130,أقولك غروهي بكفه وحراس الدوري بكفه 😃,gulf,0,1,3
131,"مبحبش الناس اللي بتيجي عند گل حاجه وتوقف .. خلونا نعدي لبعض ي جماعةة .. حسسوا اللي حواليگوا انگوا باقيين عليهم""",nile,0,0,1
132,عَجيب إصرار قَلبي عَليك,msa,0,0,0
133,ليه يقفلون اكره هاللحظه مره,gulf,0,0,0
134,""" إختر لقلبك ما يليقُ به ❤️ "" .",msa,0,0,0
135,مش طايق حتى حاليِ,levant,0,0,1
136,لعيب قوى,nile,0,0,0
137,قمة الحماس لما يكون شحن جوالك 1% وتقوم تركض وتركبه في الشاحن  ياخي تحس إنك أنقذت حياة إنسان,nile,1,1,3
138,هانت هانت باقي ساعه ونص,nile,0,0,0
139,من زمان م تابعت الليكرز,msa,0,0,0
140,اتوقع عنود صار عندها قف,gulf,0,0,2
141,هو الله..,msa,0,0,0
142,حلقة اتاك اليوم ولا بكرا؟,levant,0,0,0
143,اكثر شي يقهرك لما تتهاوش مع شخص بالواتس اب ويكون اسرع منك بالكتابة ..  هو يهزئك ..   وانت تدور حرف (ذ),gulf,1,1,3
144,بين المطر والأرض عشق وسواليف فاضت من أشواقه عيون السحابة. مساكم مطر 🌧,gulf,0,0,0
145,حرام 💔 💔,msa,0,0,0
146,صار لأحزاني جناح 🎼,msa,0,0,2
147,شعرك ماشي شباب,levant,0,0,0
148,ممببروك 😭 😭 😭 😭 💛 💛,msa,0,0,0
149,” أخبر من تودّ بكل وِدّ أنكَ تودّه.”,msa,0,0,0
150,وَكَانَ اللَّهُ غَفُورًا رَّحِيمًا,msa,0,0,0
151,ودنك فين يا جحا,nile,1,1,4
152,الوعود الكاذبة تجعّلني مُخلفًا لوعودي أيضًا.,msa,0,0,0
153,نبي سالم لعل وعسى منه فايده,gulf,0,0,2
154,لاتترك أحداً في منتصف الطريق وتخذله ؛ فربما لم يكن طريقه في الأصل لكنه لأجلك سار به معك !.,msa,0,0,0
155,اكسر للبنت ضلع تصبح اقوي,msa,0,0,2
156,احلا بدايه ل2021,msa,0,0,0
157,- اختيار الاشخاص الغلط لعبتي واخذت المركز الأول فيها.,nile,0,1,3
158,استشاري تلقين الشهاده والجلوس بجانب المريض الي ان يتوفاه الله,msa,1,0,2
159,مال النجوم أوطان دام السماء عيونك,msa,0,0,1
160,يونقهوني سويتي ماتحمل الطف بوي,gulf,0,1,3
161,يلا عاد صج باي,gulf,0,0,0
162,مايكون عندي لا صديقات ولاشيء,levant,0,0,1
163,وسيم : حسن الشكل,msa,0,0,0
164,كل اللي احبهم الفصل الجاي بيكون اخر فصل حالهم 🥺,gulf,0,0,0
165,زى الفراخ رزقه تحت رجليه,nile,1,1,5
166,مش عايز غيرها,nile,0,0,0
167,خخذ رراحتكك مماعادها تففرق معيي,levant,0,0,1
168,لحدد يغير نفسه وشخصيته عشان شخصص,levant,0,0,0
169,روحي مُتعبه.,msa,0,0,0
170,بعض الناس ودك تحط دعايات بنص سوالفهم من طولها,gulf,1,1,4
171,يا الله بحسن القبول وطيّب السُمعه.,msa,0,0,0
172,رضا الوالدين شئ غالي,msa,0,0,1
173,-أما أنت ولا بلآها منْ محبه*.,gulf,0,0,0
174,أعرف ولكن يعزُّ عليّ التصديق.,msa,0,0,0
175,جوانكاا قوول,magreb,0,0,0
176,وش الشيء اللي مستحييل يمر يومك وماتسويه؟.,gulf,0,0,1
177,الأيام المظلمة تكشف لك الشخصيات المضيئة,msa,0,0,0
178,رائع الشناوي والله,msa,0,0,0
179,سـبحان الله ، الحمدلله ، لا إله إلا الله ، الله أكبر,msa,0,0,0
180,هادية كييوت 🥺 🤍,magreb,0,0,0
181,كوم حجار ولا هالجار,levant,1,1,3
182,الفتاة الجميلة اقل حظا من القبيحة,msa,0,0,2
183,شفتيها وهي قاعدة بتسويش اشي ومش متدخلة بإشي,levant,0,1,3
184,نكمل ولا نتفارق ؟,gulf,0,0,0
185,لو فرصه برد ع الكل وعد,levant,0,0,0
186,صبااح الخيير من 2021,msa,0,0,0
187,"""الإختيار رفاهية..""",msa,0,0,0
188,كل الذين أُحبهم قد غادرو قلبي,msa,0,0,0
189,أنت جبان,msa,0,0,0
190,ابوتريكة جاب الجون وعمل الطيارة,nile,1,1,4
191,شعب غبي مخدر كأنه يتعاطى الغباء بإدمان,nile,0,0,2
192,يارب ايام مبشره وخير كثير ❤️,msa,0,0,0
193,والله فارس عوض فقيده,gulf,0,0,1
194,أشتاق لـ بشر لايرجعون،،وهذا أقسى شوق،،,msa,0,0,0
195,الراجل في البيبت رحمه ولو كان فحمه,nile,1,1,3
196,على البّال حتى لو قلّ الكلاام.,nile,0,0,0
197,هتتحبسو يا محششين,nile,0,0,1
198,من يوديني الملاهي. طفشان,gulf,0,0,1
199,إِنَّمَا الأَعْمَالُ بِالنِّيَّاتِ،,msa,0,0,0
200,الحمدلله. 🦅 🦅 🦅,msa,0,0,0
201,بتشجع فريق مش نافع,nile,0,0,1
202,ممنوع ممنوع ممنوع,msa,0,0,0
203,كحك ايه اللي بالنوتيلا، هتودوا فخادكم فين بعد كدة,nile,1,1,5
204,كان النبي صلى الله عليه وسلم يودع رمضآن بقوله اللهم لا تجعله اخرالعهد من صيامنا إياه فإن جعلته فاجعلني مرحوما ولا تجعلني محروما فانه من قال ذلك فاز باحدي الحسنيين اما بلوغ رمضان اما غفرانه ورحمته,msa,0,0,0
205,ياا صبااح الخيير ♥️,msa,0,0,0
206,أيام ليتها تعود ..,msa,0,0,0
207,اتقل عالرز يستوي,nile,1,0,2
208,انت تافه,msa,0,0,1
209,لا انا الييوم الضغط عندي بيرتتفع,gulf,0,0,0
210,َ  - للانشدوك ﺎلناس وش كان ذنبك ؟  قل ششَعو ﺈلببدو لاعافوا ﺈلقاعع يمشون !ء .,magreb,0,0,2
211,احس محتاج اعيش في نيوزيلندا,levant,0,0,1
212,اغنية وحشة,nile,0,0,0
213,نادال لاعب يجيد اللعب علي التراب فقط,msa,0,1,4
214,رميت همومي في البحر طلع السمك يُلطم,nile,1,1,5
215,والله ذِكريات الميت أصعب من فُراقه,msa,0,0,0
216,قال يا رياح خدني قاله غور شئ يريحنا من فساك,levant,1,1,3
217,ياسعد عيني ويا حيّ هالشوف 🤍 .,gulf,0,0,0
218,مااك ❤️ ❤️,msa,0,0,0
219,اول فاينل دحين دعواتكم 🙌🏻 ❤️,gulf,0,0,0
220,والله غبنه ضيعنا اهداف سهله كثير ودفاعنا الله بالخير,nile,0,1,3
221,تبقى جمبي بنسى روحي .. وبرضاك بتروح جروحي ❤,msa,0,0,0
222,لقيتك صدفة في بالي,nile,0,0,1
223,سخونه وحلقي الله يستر,msa,0,0,0
224,انشاء الله مفيش حاجه,nile,0,0,0
225,متى أخر مره سافرت ووين !,gulf,0,0,0
226,ماينفعش تقعد معانا إحنا أحسن منك,nile,0,0,2
227,دماغ شغالة مش بتنام 🧠👀,nile,1,0,0
228,ضربني وبكى، وسبق بالشكوي كي يظن الناس انني المذنب,msa,0,1,3
229,حان الآن موعد صلاة الظهر للسلطنه,msa,0,0,0
230,بطني ثم أنت ..,msa,0,1,5
231,آخر مرة قرأت القرآن ! متى كانت ؟,msa,0,0,0
232,رح نام بالمحاضره 🤦‍♀️,levant,0,0,2
233,مليش سقف مليش اخر,nile,0,0,1
234,تعبنا من عبيىد الاتنشن ذولا,gulf,0,0,1
235,حاولت ان أجعلك مٌشعاً ولكنك أبهتَّني,msa,0,0,2
236,لا يريد الانتباه اصلا,msa,0,0,0
237,دبارت القط على مول الدار,magreb,1,0,2
238,ياليتني كنت الارض علشان تجذب لي,levant,0,0,0
239,لما اجوع بين الوجبات المفروض اكل اي؟,nile,1,0,1
240,الحكومة هى سبب فقرنا,nile,0,0,1
241,اخخ امطرت الرياض,gulf,0,0,1
242,زى الفراخ رزقه يجي بسهولة,nile,0,1,3
243,أحب لما انسأل عن كل التفاصيل,gulf,0,0,0
244,ققوولل 💛 💛 💛,magreb,0,0,0
245,ترى والله ما حدا رح يحس بزعلك غير شعرك وبشرتك 💔,gulf,1,1,3
246,عامل نفسك فيها بتفهم و اللي يدور يلاقي مكان مخك طبق كبدة,nile,1,1,5
247,ودي احمي في حضره الموقف كلاام,nile,0,0,1
248,انتي سمينة,msa,0,1,3
249,كُنت اضن انني جيد،..,msa,0,0,0
250,كيف تساوى بين الحفاظ على حياة المجرمين مثل الابرياء,msa,0,0,1
251,ماذاقت عيني النوم من كثر التفكير والشوق .,gulf,0,0,0
252,ملحوظة مهمة :البدايات مش مؤشر لأي حاجه.,nile,0,0,1
253,"""ماهو مقدر لك سيصل اليك دومًا.""",msa,0,0,0
254,حياتي ملاها عذاب قضي علياا,msa,0,0,1
255,أيعلَمُ صاحِبُ الودِّ إنَّنا نَودّهُ ؟ 🖤,msa,0,0,0
256,تقيدت 💔,msa,0,0,0
257,ان شئ بسيط صغير يمكن ان يصلح شىئ كبير,msa,0,0,0
258,لييشش 💔 💔 💔 💔 💔,levant,0,0,0
259,مبروك للانتر الدوري 💙 💙,msa,0,0,0
260,اللهم إني وكلتك أمري ❤️,msa,0,0,0
261,بتناقش اكثر من ثلاث ردود صدقني بسحب عليك,msa,0,0,0
262,عايزين نفرح بقي يارب وحشتنا الفرحه,msa,0,0,0
263,بالتوفيق للوحدة 🇱🇻,msa,0,0,0
264,أول يـوم دايـت 😆 😆,nile,0,0,2
265,إن غاب القط، العب يا الفار,magreb,1,1,3
266,أنت جبري تقتل,magreb,1,0,2
267,الحظ يتسلى علي وعلى مستقبلى ,gulf,0,1,4
268,اذا انت امير وانا امير مين يسوق الحمير,gulf,1,1,4
269,ساعة استجابة ❤️,msa,0,0,0
270,البنات اللي مسويات عمليات تجميل وش الفايده منهم ؟  دام عيالهم بيطلعون على النسخه القديمه,gulf,1,1,5
271,""" إياك أن تُفارقني بعد كُل هذا الحُب ''",msa,0,0,0
272,على الله حوبتي ماتعداك تلقى مع الايام غيري يضـرك,magreb,0,0,0
273,ده شكله نورمي,nile,1,1,4
274,ما تخليش حد ياخدك لبعيد، عشان هتتعب وانت راجع لوحدك,nile,0,0,2
275,مع البيب ولا اصبّ لك قهُوة ؟.,gulf,0,0,1
276,"""اللهم إجعلنا مِن الذين نالوا ما تمنّوا"".",msa,0,0,0
277,لا الاوضاع تساعد ولا الظروف تسمح,gulf,0,0,0
278,خالصانه بضربه خرزانه,nile,1,0,1
279,تأليف المصادر في الابحاث,msa,0,0,1
280,جيب العواقب سليمه يارب,nile,0,0,0
281,ولعل ما ابتلاك به الله اراد به أن يصطفيك الي مكانة أعلي لاتبلغها بعملك، فقل الحمد لله .,msa,0,0,0
282,كم طول طولكم  -انا 156 احلى شي,levant,0,0,1
283,راقصني كيف افاخر ان كوناً دار حولي 🤍 .,magreb,0,0,0
284,اشتقت لنارساني وبقوه اا ):,gulf,0,0,1
285,ساعه واغلق العمل.,msa,0,0,0
286,ليلة خط الوسط 🤍,msa,0,0,0
287,منلعبش معاك,nile,0,0,0
288,البنوتة الي ع الدرامز قوية جدا وعندها شموخ وراس عالي 😍 😍 ♥️,nile,0,0,0
289,عيونك قمر في عمته لليل,nile,0,0,0
290,خايف اكون ضيّعت سنينيي,nile,0,0,0
291,وده شعرك ولا شعر مكنسة ده يروح يدفن نفسه احسن,nile,1,1,5
292,من كثر الكحه احس ضلوعي انهدت):,gulf,0,0,1
293,عزيزي العميل ابتسم قليلا,msa,0,0,1
294,هالفصل أبا انجح مابا جريد,gulf,0,0,0
295,طبعاً سهل انت هتقول لي؟!,nile,1,1,3
296,اقرب لي من روحي ❤️,msa,0,0,0
297,خَير القلوب أحنّها.,msa,0,0,0
298,السيتي هيخسر انهارده,nile,0,0,1
299,اللهم فرحاً يقر العين و يجبر القلب,msa,0,0,0
300,الغبنة لما تخسر بالكومب,nile,0,1,3
301,الدوري االجزائري سيء جدا,msa,0,0,1
302,صداع من كمية القهر الي قاعده تجيني!,levant,0,0,2
303,ونخاف تكون مشاوير غلط..,nile,0,0,2
304,احلي واحده في العالم تعمل دونتس,nile,0,0,0
305,شاهد سقوط فستان هيفاء وهبي اثناء احيائها حفله في المريخ,msa,1,0,1
306,سيدة قوية,msa,0,0,0
307,سانن لايف اول ماصحيت,nile,0,0,1
308,فعلا فيه كلام كتير مضايقني,nile,0,0,0
309,شكلكو كدا عايزين رحلة بعد الميد دا,nile,0,0,2
310,هون على قلبي يالله.,msa,0,0,0
311,ياروحي كافي هاي عالم ماتوافي 😥 ياروحي كافي كلها صعدت على كتافي 😣,gulf,0,0,1
312,الزمالك هايكسب الاهلي رايح جاي,nile,1,0,2
313,نزل ايمن يحيى,msa,0,0,0
314,"سؤال اليوم : "" شجابني للضيم چنت مدللة """,gulf,0,0,2
315,السنه الجديده تكفيينن دلعينيي دلعينيي,gulf,0,1,4
316,رَبَّنا لا تُزِغ قُلوبَنا بَعدَ إِذ هَدَيتَنا,msa,0,0,0
317,مفيش واحده هتعبرك وترضى تلرتبط بيك,nile,0,1,4
318,""" ولا قلب غير قلبك اوده """,gulf,0,0,0
319,حازه بعمق قلبي مو بس بخاطري .,gulf,0,0,0
320,.. لا تنتظر شيئا من أحد كل ماهو جميل يأتي من الله,msa,0,0,0
321,شفتيها وهي قاعدة زي العروس,nile,1,0,2
322,امراءة خبيثة,msa,0,0,1
323,ما معه مصاري وعارم حاله وشايف حاله اشي كبير,levant,0,1,4
324,عنك الصبر كذبه وفيك العمر موعود,msa,0,0,0
325,يا وردة في كل الفصول,msa,0,0,0
326,يارب و أنا قلبي طيب عطني على قد قلبي,gulf,0,0,0
327,هو مو مشكله ويصير خير,levant,0,0,0
328,أه ياكل احباب الرشيدي,gulf,0,0,0
329,من أجل عينيك.. عشقت الهوى,msa,0,0,0
330,ما أخف دم هالبني آدم,levant,1,0,1
331,وجهه ابهى من نور الصبح ❤️ ❤️,msa,0,0,0
332,يترى القمر ده هنا ولا من انه مجره,nile,1,1,3
333,مساكم ازرق 💙,gulf,0,0,1
334,الله يعجل بيوم الثلاثاء,msa,0,0,1
335,جماعه ممكن لما حد يضايقني انا اللي ازعل مش هو ؟,nile,0,1,5
336,تشانيول 😭 😭 😭,msa,0,0,1
337,الحكومه خديتنا معززين مكرمين تحت خط الفقر,gulf,1,1,5
338,معقول تروح وتغيب 💔,msa,0,0,0
339, غياب الظالم يتيح للمظلوم ان يفعل ما يشاء,msa,0,0,0
340,الرشيد: المرشد لعباده,msa,0,0,0
341,اكسر للبنت ضلع يطلع لها اربعة وعشرين,nile,1,1,4
342,الكحك بالنوتيلا بيتخن اوى,nile,0,0,1
343,اللى مكتوبلك هيحصلك مهما عملت,nile,0,0,0
344,يارب جنة لأحبابنا الذين تحت الثرى، جنة نراهم فيها مُنعمين مُترفين سُعداء يارحيم,msa,0,0,0
345,من لا يعرف يقول اي شئ فيبدو جاهلا اكثر,msa,0,0,1
346,🦎 🦎 🦎 🦎 قولل,msa,0,0,1
347,اوكي بطني حبيبي ممكن تستوعب انه توتر مب جوع؟؟,gulf,0,0,2
348,امي عندها قروب اسمه السعداء يارب يضيفوني,msa,0,0,0
349,مبروك للإنتر وجماهيره .. اللي حسم المباراة هاندانوفيتش بأول ١٠ دقايق من الشوط الثاني,msa,0,0,0
350,لا أحد يهتم بك,msa,0,0,0
351,الله يديمك لي كثر ما روحي تحبك 🤍 .,gulf,0,0,0
352,شب بخير و خدافظ 👋🏾 ❤️,magreb,0,0,0
353,دايم عيون الشوق تسهر ماتنام الوصل غفوة والجفا صبح وسهر ؛),msa,0,0,0
354,مش عارف هيا بتقول ايه,nile,0,0,0
355,السلام عليكم .. ردوا السلام,msa,0,0,0
356,يصير اقول اشتقت لك ولا جديدك ياقديمي يغار ؟,gulf,0,0,0
357,الفاهم يفهم بالغمزة والحمير يفهم بالدبزة,magreb,1,1,3
358,ابغى انام عشان افتك من قرف اليوم بس اخاف يخرب نومي ما الحل,gulf,0,0,1
359,في حد تعامل بالويسترن يونيون ؟,nile,0,0,0
360,على فكره أشتاق لكِ كثيراً.,msa,0,0,0
361,لو سمعت سابع جار الف مره مزهقش منه ابدا 💕,nile,0,0,0
362,سونمي يصلح لها دور سايكو,magreb,0,0,2
363,صدري مليان بالكلام,msa,0,0,0
364,حميت ظهرك يوم غيري يعاديك وطعنتني وانا السبب في نجاتك !,gulf,0,0,0
365,نايمة 9 وقاعدة الساعة 1 لا من الكلاسات ولا من نومتي 😫,gulf,0,1,5
366,{إِنَّهُ لَا يَيْأَسُ مِنْ رَوْحِ اللَّهِ إِلَّا الْقَوْمُ الْكَافِرُونَ},msa,0,0,0
367,الرجالة تروح فين محدش طايقهم,nile,0,0,2
368,اتنين صحاب لا يمكن ان يفترقوا عن بعض,msa,0,0,0
369,حتى الإنسان الجيد يتعب من كونه جيد دائمًا,msa,0,0,0
370,اول صباح في 2021 صباحكم انا طبعاً 🧡 😍,msa,0,1,3
371,كلكم هيك بالعيلة  ولا بس انت وجه السحارة,levant,1,1,3
372,راسي رح ينفجرر,levant,0,0,0
373,بداية جديده..ناس جديده,msa,0,0,0
374,الإهتمام مطلبٌ لا يُطلب.,msa,0,0,0
375,اسعاف الجوال قبل ما يقطع,msa,0,0,0
376,إلهي ، أمرضهُ بي,msa,0,0,1
377,ليت الذي يرحل عنّا، يرحل مِنّا.,msa,0,0,1
378,ثمّ يُصبح الأمر عادياً ، وتنام بجوار حزنك,msa,0,0,0
379,صاحبتي وصاحبها جالسين يسسون حركات حلوه اللهم حسد,nile,0,0,2
380,والله احس اشتقت اكتب,gulf,0,0,0
381,"""أحُبك دائمًا بنفس الإنبهار الأول""",msa,0,0,0
382,نهاركوا لوكس ماتنسوش تفطروا انهاردة,nile,0,1,3
383,(إِنَّ قُرْآنَ الْفَجْرِ كَانَ مَشْهُودً),msa,0,0,0
384,ستيرلينج ولابورت بدل دياش ق٧٠,magreb,0,0,1
385,وأن جابك الطاري بقول أنسان كان يهمني..,gulf,0,0,2
